-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.025,  0.214
-183.799, 80.194, 0.118,  0.247
-183.796, 80.186, 0.249,  0.280
-183.791, 80.174, 0.368,  0.313
-183.783, 80.157, 0.505,  0.346
-183.772, 80.138, 0.567,  0.379
-183.758, 80.117, 0.662,  0.412
-183.740, 80.091, 0.817,  0.445
-183.719, 80.061, 0.960,  0.478
-183.693, 80.027, 1.112,  0.511
-183.663, 79.988, 1.255,  0.544
-183.630, 79.947, 1.370,  0.577
-183.594, 79.905, 1.437,  0.610
-183.556, 79.862, 1.476,  0.643
-183.516, 79.820, 1.493,  0.676
-183.476, 79.779, 1.483,  0.709
-183.435, 79.739, 1.468,  0.742
-183.394, 79.701, 1.461,  0.775
-183.351, 79.664, 1.470,  0.808
-183.306, 79.627, 1.505,  0.841
-183.259, 79.589, 1.559,  0.874
-183.210, 79.552, 1.605,  0.907
-183.159, 79.515, 1.635,  0.940
-183.106, 79.479, 1.646,  0.973
-183.052, 79.444, 1.639,  1.006
-182.999, 79.412, 1.613,  1.039
-182.945, 79.382, 1.576,  1.072
-182.892, 79.353, 1.543,  1.105
-182.839, 79.327, 1.522,  1.138
-182.786, 79.302, 1.521,  1.171
-182.731, 79.278, 1.546,  1.204
-182.673, 79.254, 1.601,  1.237
-182.613, 79.231, 1.657,  1.270
-182.551, 79.209, 1.694,  1.303
-182.487, 79.188, 1.709,  1.336
-182.423, 79.169, 1.705,  1.369
-182.359, 79.149, 1.761,  1.402
-182.297, 79.126, 1.835,  1.435
-182.236, 79.098, 1.895,  1.468
-182.178, 79.065, 1.927,  1.501
-182.124, 79.029, 1.926,  1.534
-182.074, 78.990, 1.897,  1.567
-182.029, 78.948, 1.844,  1.600
-181.988, 78.906, 1.759,  1.633
-181.950, 78.863, 1.687,  1.666
-181.916, 78.821, 1.628,  1.699
-181.885, 78.778, 1.584,  1.732
